index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
30,Alfred.,"Alfred., aka the queer rapscallion, is an emcee based out of Virginia. After they dropped their debut album, ""Like You!!"", in August of 2018, Alfred. and their producer Pockets toured the east-coast and south in hopes of twisting everyone's one-dimensional perception of rap. Alfred. has been instrumental in the emergence of the rap renaissance in Richmond, VA. Their creative prowess, however, helps them stand apart in a category they coined ""dark gospel"".Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Alternative,"Woodbridge, VA",http://audio.sxsw.com/2019/mp3_by_artist_id/a4aec2bd1959e74422b0ceb7900399f4bfd349d022197545416159e5ba2ac8cd.mp3,Alfred. at Cheer Up Charlie's Inside,"Mar 13, 2019",9:40pm-10:20pm,Cheer Up Charlie's Inside
31,Algobabez,"ALGOBABEZ are live coders known for creating blistering, noisy beats and bloops. Formed of algorave regulars Shelly Knotts and Joanne Armitage, they use SuperCollider to code and control patterns of weird, wonky, noisy, thumping, danceable music. OK apart, but better together: 2 babes, 2 laptops and 1 sound.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency",Electronic,Dance,"Leeds, UK-ENGLAND",,Algobabez at The Main II,"Mar 12, 2019",12:40am-1:20am,The Main II
32,Ali Awan,"Ali Awan is a Philadelphia-based Indie rock singer-songwriter. Born in Pennsylvania, Awan spent time growing up in Turkey and Saudi Arabia before finally settling back home in Abington, PA.
At age 15, Awan performed as a guitar and bass player in West Philadelphia basements. He turned his attention to songwriting after being inspired by legendary artists The Velvet Underground, Chuck Berry, David Bowie and The Rolling Stones. 
Awan's emphasis on groove and feel are at the forefront of his mind. Awan says, “My intention is to give my audience an interesting and unforgettable place to go and feel for themselves.”
Awan is currently touring in support of his current album, “The Butterfly EP” with performances at NON-COMM, XPoNential Festival and multi-state dates.
WXPN DJ Mike Vasilikos says of Awan, ""We all have those musical discoveries that reignite that fire in your belly. No artist has done that more than Ali Awan. His energy, creativity, passion for rock and roll, it’s contagious.”
WBEZ’s Sound Opinions host and Chicago Tribune writer/rock critic Jim DeRogatis called Awan, “Ferocious.”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Publishing, Sync/Music Supervisors",Singer-Songwriter,Indie Rock,"Philadelphia, PA",http://audio.sxsw.com/2019/mp3_by_artist_id/8e72ea05b23a21152611e53cfb7c989510fdf0fc36568eefe1b425b9bdd1b3fa.mp3,Ali Awan at Pour Choices,"Mar 11, 2019",11:50pm-12:20am,Pour Choices
33,Alice Phoebe Lou,No description provided for artist.,Singer-Songwriter,Alternative,"Berlin, GERMANY",,Alice Phoebe Lou at Seven Grand,"Mar 13, 2019",1:00am-1:50am,Seven Grand
34,Alih Jey & Cuñao,"Alih Jey is a genre-defying Dominican singer/songwriter living in Los Angeles. Her latest single “Mi Debilidad” was premiered on KCRW’s Pan Caliente and included on NPR’s Alt.Latino playlist after a glowing review. This emotionally moving song, with elements of the Dominican criolla and bolero, is part of her upcoming album, “Soy De Peña,” a tribute to her father Aníbal De Peña, who to this day remains an icon in Dominican musical history. Alih’s current endeavor is a collaboration with Latin Folk band Cuñao. Together, they provide a fresh take of these timeless classics, while remaining true to the original versions.
Cuñao is a Los Angeles-based, Latin Folk group . They use their South American background & influences to create evocative, poetic songs that transcend time and leave listeners with lush images. A group of multi-ethnic musicians, Cuñao puts a global twist on their Latin sound by exploring African rhythms, Eastern European melodies and American Rock aesthetics.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Other Artists to Tour With, Booking Agent - US, Booking Agent - Worldwide, Sync/Music Supervisors",Latin Rock,Folk,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/f96f7dfc9451b8e94c238ce3e1cc2e99f64e609c6ab42f0ea06bff6c9c8a6de6.mp3,Alih Jey & Cuñao at Speakeasy,"Mar 13, 2019",9:00pm-9:40pm,Speakeasy
35,Alphabeat,"After a six-year hiatus, beloved Danish indie pop band Alphabeat return with infectious new single “Shadows,” the first taste of their new album due for release this Autumn. With Danish sound wizard Emil Falk at the production helm, the single marks the group’s first formal US music release and Alphabeat’s debut release on new label Atlantic Records. 
Recorded in a summer house, Shadows captures the carefree spirit the band first introduced over a decade ago.
“It has always been written in the stars that we should play together again, and the desire has been there for a long time,” Stine Bramsen explains, who together with Anders SG leads the group. 
After bursting onto the scene in 2006 with their debut single Fascination, Alphabeat went on to earn critical acclaim everywhere from the New York Times and the Guardian to pop blog adoration amongst PopJustice, Idolator and many more.  They scored a huge amount of success including five top 30 singles and a gold-certified debut in the UK as well as multiple Top 10 singles across Europe. They have sold more than 1 million albums and singles. Their best performing track to date was the huge Fascination, which reached #6 in UK. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,None,"Copenhagen, DENMARK",,Alphabeat at Empire Garage,"Mar 13, 2019",11:00pm-11:40pm,Empire Garage
36,Altameda,"Edmonton, Alberta based Altameda (æl-tah-MI-da) have evolved into a band with a bold, and unrelenting sound. It’s the culmination of experience, both musical and rawly human, that makes Altameda the band they are. Hitting festival circuits and stages across Canada and the UK, they’ve toured extensively since releasing their much-celebrated debut album, Dirty Rain. 
Full and resounding, cutting and dynamic, Altameda’s sophomore release, Time Hasn’t Changed You, is full of all that makes life a beautiful mess. Brought along by warm bass lines, bluesy rhythms and the sweet whir of the wurlitzer, vocalist Troy Snaterse’s lyrics burn with nostalgia and present desire, made vivid by his talk-like cadences and emotional peaks. It will lift you out of your seat—then all at once send you spiralling down to the kitchen floor. It’s love lost and gained and lost again. It will stay with you even after vinyl and needle have parted ways.
Time Hasn’t Changed You, produced by Aaron Goldstein (City & Colour, Daniel Romano, Kathleen Edwards), was released by Pheromone Recordings on January 25, 2019Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Distribution - US, Distribution - UK/Europe, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Publishing, Sync/Music Supervisors",Americana,Rock,"Edmonton, AB, CANADA",http://audio.sxsw.com/2019/mp3_by_artist_id/a9274cf162df05f8f8aaadcde9cc8878ffa81f3e32ff229cef28247385348b85.mp3,Altameda at 18th Over Austin,"Mar 16, 2019",9:00pm-9:40pm,18th Over Austin
37,Alternate Sound,"
Unlike your regular live band, this unique ensemble also doubles as original recording artistes and performers as well as a Live Band DJ all in itself. This means that Alternate Sound can be booked as your headlining artist, accompanying band and also house DJ with a unique style. 
The band's meticulous panache has been paired with many of the best African talents some of which includes Tiwa Savage, Patoranking, Banky W, Praiz and Reekado Banks on the most prestigious stages across and beyond the continent. Alternate sound has featured as headline acts and also official band on positioned stages like:
	The CAF Awards 2017 
	SoundCity MVP Awards 2018
	The Headies Award 2018
	The Headies Nomination Party 2018
et al
Like every brand, the band’s visual aesthetics from its carefully theme curated sounds, to its fashion pieces, stage performance setup and performance set is always composed to leave a long lasting impression with its audience and most importantly the art experience every art lover deserves.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Alternative,"Lagos, NIGERIA",,Alternate Sound at Highland Lounge,"Mar 16, 2019",None,Highland Lounge
38,Ama,"Ama is a power pop group from Austin, TX based around the songs and visual art of Blair Robbins. Robbins has gained experience in the Austin music community over the past seven years through singing with Spoon, Peter Matthew Bauer (formerly of The Walkmen), and Walker Lukens, as well as playing guitar, keyboards, and bass in an array of local bands. Her artistic vision finds fruition in Ama, as her friends and fellow bandmates lend nuance and dynamics to heartfelt songs that summon strength through vulnerability.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Power Pop,"Austin, TX",,Ama at 720 Club Patio,"Mar 12, 2019",10:45pm-11:25pm,720 Club Patio
39,Amanda Palmer,"Amanda Palmer is a singer, songwriter, playwright, pianist, author, director, blogger and ukulele enthusiast who simultaneously embraces and explodes traditional frameworks of music, theatre, and art. She first came to prominence as one half of the Boston-based punk cabaret duo The Dresden Dolls, earning global applause for their inventive songcraft and wide-ranging theatricality. Her solo career has proven equally brave and boundless, featuring such groundbreaking works as the fan-funded Theatre Is Evil, which made a top 10 debut on the SoundScan/Billboard 200 upon its release in 2012 and remains the top-funded original music project on Kickstarter. 
Since 2015 Palmer has used the crowdfunding platform Patreon to fund the creation of her artwork. This has enabled her to collaborate with artists all over the world with over 14,000 patrons supporting her creations each month. Palmer will release her new solo piano album and accompanying book of photographs and essays, There Will Be No Intermission, on March 8, 2019, followed by a global tour. The album is a masterwork that includes life, death, abortion, and miscarriage among its tentpole themes.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Singer-Songwriter,Singer-Songwriter,"Boston, MA",http://audio.sxsw.com/2019/mp3_by_artist_id/da328050d68957671ed2ead2179804a3ad0cc2b390371c2e39004693fa01cd0c.mp3,Amanda Palmer at Augustine,"Mar 11, 2019",10:00pm-10:40pm,Augustine
